customer,frequency,recency,monetary_value,R_Quartile,F_Quartile,M_Quartile,RFMClass
Karyn Pfeffer,1,30,28,2,4,4,244
Kasey Denesik,3,17,126,2,1,1,211
Kasey Hudson III,1,81,71,4,4,2,442
Kasey VonRueden,4,3,138,1,1,1,111
Kash Bayer,1,6,25,1,4,4,144
Kash Cruickshank MD,2,10,82,1,2,2,122
Kash Satterfield IV,2,18,75,2,2,2,222
Kasie Bailey,4,21,213,2,1,1,211
Kasie Grimes,2,40,105,3,2,2,322
Kasie Harris MD,2,18,75,2,2,2,222
Kason Turcotte,4,6,245,1,1,1,111
Kassandra Reichert MD,1,16,28,2,4,4,244
Kassie Hartmann MD,1,73,29,4,4,4,444
Katarina Kiehn MD,4,12,129,1,1,1,111
Katarina Kuvalis,2,3,54,1,2,3,123
Kate Lueilwitz,1,88,67,4,4,3,443
Kate Rath,1,88,41,4,4,4,444
Kate Swift,1,55,78,3,4,2,342
Katelyn Beatty,1,87,39,4,4,4,444
Katelyn Pagac,5,84,228,4,1,1,411
Katelyn Ryan,1,64,68,4,4,2,442
Katelyn Schuppe,1,75,63,4,4,3,443
Katelynn Huels,2,52,141,3,2,1,321
Katelynn Kozey,1,44,74,3,4,2,342
Katelynn Rogahn,1,85,47,4,4,3,443
Katelynn Rosenbaum PhD,1,46,49,3,4,3,343
Katelynn Swift,1,20,69,2,4,2,242
Katerina Steuber,1,46,37,3,4,4,344
Kathaleen Block PhD,2,19,131,2,2,1,221
Kathaleen Legros,2,67,95,4,2,2,422
Kathaleen O'Kon PhD,2,20,119,2,2,1,221
Katharina Gutmann,1,22,56,2,4,3,243
Katharina Lueilwitz,3,12,213,1,1,1,111
Katharina Weimann,5,5,278,1,1,1,111
Katharine Durgan,2,54,114,3,2,1,321
Katharyn Hermiston,3,0,157,1,1,1,111
Katharyn Mraz,2,45,106,3,2,2,322
Katherin Boyle,1,62,73,4,4,2,442
Katherin Schuster,2,47,118,3,2,1,321
Katherine Jenkins DDS,1,19,49,2,4,3,243
Katherine Rice,1,47,40,3,4,4,344
Kathern Collier,7,1,361,1,1,1,111
Kathern Gutmann,1,89,64,4,4,3,443
Katheryn Hilll,1,46,56,3,4,3,343
Katheryn Reinger,2,47,116,3,2,1,321
Kathi Howe,1,35,31,2,4,4,244
Kathleen Gutmann PhD,2,6,85,1,2,2,122
Kathleen Wunsch MD,9,43,372,3,1,1,311
Kathlene Altenwerth,1,9,61,1,4,3,143
Kathlene Rau,1,42,76,3,4,2,342
Kathlyn Halvorson,1,19,73,2,4,2,242
Kathlyn Jewess,1,81,34,4,4,4,444
Kathrine Buckridge,1,47,72,3,4,2,342
Kathrine Gerlach PhD,3,12,141,1,1,1,111
Kathrine Rau,1,58,62,3,4,3,343
Kathryn Block,1,72,33,4,4,4,444
Kathryne Hoeger,14,4,760,1,1,1,111
Kathryne Tremblay,2,61,108,4,2,1,421
Kathryne Windler,1,36,64,2,4,3,243
Kathy Gleichner,4,10,166,1,1,1,111
Kathy Weissnat,1,26,63,2,4,3,243
Kati Kihn,1,79,43,4,4,4,444
Katia Homenick,2,4,113,1,2,1,121
Katia Muller MD,2,11,73,1,2,2,122
Katie Collier MD,1,3,55,1,4,3,143
Katlin Cartwright DDS,1,4,53,1,4,3,143
Katlyn Dickinson,8,31,381,2,1,1,211
Katlyn Mann,2,55,105,3,2,2,322
Katlyn Waelchi,1,14,55,2,4,3,243
Katlynn Gorczany,1,87,44,4,4,4,444
Katrina Dare,2,31,139,2,2,1,221
Katy King,4,5,279,1,1,1,111
Katy Muller,1,47,66,3,4,3,343
Kay Walsh,1,55,78,3,4,2,342
Kaya Hilpert DDS,4,43,220,3,1,1,311
Kaya Kreiger,1,47,65,3,4,3,343
Kayden Kshlerin,2,38,79,2,2,2,222
Kayden Schaefer,1,16,73,2,4,2,242
Kaye Dickens,1,5,71,1,4,2,142
Kaye Hauck,2,31,93,2,2,2,222
Kaye Sanford,1,58,49,3,4,3,343
Kaye Trantow MD,1,38,54,2,4,3,243
Kayla Dicki,5,1,280,1,1,1,111
Kaylan Reichel,2,50,79,3,2,2,322
Kayleigh Greenholt,3,19,188,2,1,1,211
Kayleigh Mertz,3,4,141,1,1,1,111
Kaylen Osinski PhD,2,84,128,4,2,1,421
Kaylene Funk,5,5,221,1,1,1,111
Kaylene Schaden,1,85,80,4,4,2,442
Kayley Sporer,3,47,97,3,1,2,312
Kayli Pacocha,1,8,24,1,4,4,144
Kayli Pollich,1,73,73,4,4,2,442
Kaylie Cummerata,2,46,73,3,2,2,322
Kaylie Leffler,2,65,77,4,2,2,422
Kaylin O'Conner,1,19,64,2,4,3,243
Kaylin Reichert,2,80,65,4,2,3,423
Kaylyn Boyer,1,40,44,3,4,4,344
Kaylyn Connelly,1,68,75,4,4,2,442
Kaylyn Mohr,3,42,143,3,1,1,311
Kayson Altenwerth,3,47,143,3,1,1,311
Kazuko Murazik,4,2,242,1,1,1,111
Kazuo Kunze,6,1,310,1,1,1,111
Kazuo Labadie,1,18,78,2,4,2,242
Kazuo Moen,8,18,406,2,1,1,211
Kazuo Sipes,1,53,77,3,4,2,342
Keandre Prohaska,1,62,45,4,4,3,443
Keanna Carter,1,70,58,4,4,3,443
Keanu Price PhD,1,35,79,2,4,2,242
Keara Okuneva,2,80,114,4,2,1,421
Keara Rolfson,1,11,38,1,4,4,144
Keaton Collins,1,46,78,3,4,2,342
Kecia Kilback DVM,1,88,33,4,4,4,444
Keegan Connelly,1,32,55,2,4,3,243
Keegan Hickle,1,47,22,3,4,4,344
Keegan Keeling,3,11,158,1,1,1,111
Keegan O'Keefe,4,11,210,1,1,1,111
Keeley Parisian,1,46,56,3,4,3,343
Keena Cassin,1,81,29,4,4,4,444
Keena Graham,2,6,140,1,2,1,121
Keena Rice,5,5,242,1,1,1,111
Keenan Koss,1,73,68,4,4,2,442
Keenen Bechtelar,3,16,127,2,1,1,211
Keenen Brakus,1,25,73,2,4,2,242
Keesha Reichert,1,45,30,3,4,4,344
Keesha Thompson DVM,4,3,264,1,1,1,111
Kegan Howe,1,40,51,3,4,3,343
Kegan Langworth,2,47,68,3,2,2,322
Keifer Borer III,1,47,66,3,4,3,343
Keifer Buckridge,2,34,117,2,2,1,221
Keifer McKenzie,2,52,124,3,2,1,321
Keion Ratke,1,81,44,4,4,4,444
Keion Stroman,1,44,77,3,4,2,342
Keisha Lesch,1,59,40,3,4,4,344
Keisha Russel,3,20,225,2,1,1,211
Keith Cole,3,2,107,1,1,1,111
Keith Cormier III,1,73,71,4,4,2,442
Keith Fahey,2,29,142,2,2,1,221
Keith Veum,4,15,181,2,1,1,211
Kelan Walker,1,16,27,2,4,4,244
Kelby Howe,5,30,238,2,1,1,211
Kelby Zieme MD,4,47,165,3,1,1,311
Keli Waters,1,40,67,3,4,3,343
Kelis Rosenbaum,2,20,124,2,2,1,221
Kellan Prosacco,9,5,478,1,1,1,111
Kellee Funk,1,44,29,3,4,4,344
Kellee Lueilwitz,2,6,82,1,2,2,122
Kellen Cremin Sr.,1,14,47,2,4,3,243
Kellen Lemke,2,5,81,1,2,2,122
Kelley Haley,1,71,35,4,4,4,444
Kelley Jacobs,1,26,40,2,4,4,244
Kelley Muller,1,5,79,1,4,2,142
Kelley Nienow,1,64,77,4,4,2,442
Kelley Rutherford,1,18,20,2,4,4,244
Kellie Schimmel,11,5,560,1,1,1,111
Kelsea Murphy,1,53,48,3,4,3,343
Kelsey Hettinger,4,46,176,3,1,1,311
Kelsey Padberg,1,74,34,4,4,4,444
Kelsey Pollich,2,69,130,4,2,1,421
Kelsey Rolfson,1,5,74,1,4,2,142
Kelsey Schultz,1,18,25,2,4,4,244
Kelton O'Keefe,1,88,35,4,4,4,444
Kem Bosco,1,42,78,3,4,2,342
Kem Medhurst II,1,68,52,4,4,3,443
Ken Bailey,1,29,61,2,4,3,243
Ken Denesik,1,41,73,3,4,2,342
Ken Green,1,6,25,1,4,4,144
Ken Leuschke,1,5,25,1,4,4,144
Kenan Spencer,1,68,77,4,4,2,442
Kendal Graham,1,62,50,4,4,3,443
Kendal Hansen,1,13,26,2,4,4,244
Kendal Lakin DVM,2,16,119,2,2,1,221
Kendal Predovic,2,87,95,4,2,2,422
Kendal Wiegand,1,47,48,3,4,3,343
Kendall Flatley,1,52,60,3,4,3,343
Kendall King PhD,1,33,74,2,4,2,242
Kendra Boyer PhD,3,26,104,2,1,2,212
Kendra Nienow,1,47,52,3,4,3,343
Kendra Rath,1,64,44,4,4,4,444
Kendrick Boyle,1,8,22,1,4,4,144
Kenia Denesik,1,83,53,4,4,3,443
Kenisha Fritsch,3,11,100,1,1,2,112
Kenji Keebler,1,6,30,1,4,4,144
Kenji Marquardt,1,79,61,4,4,3,443
Kenji Stehr PhD,2,22,96,2,2,2,222
Kenna Larkin,2,11,111,1,2,1,121
Kennard Purdy,1,85,61,4,4,3,443
Kennard Williamson DDS,1,78,45,4,4,3,443
Kennedi Waters,2,67,104,4,2,2,422
Kennedy Koepp MD,2,57,52,3,2,3,323
Kennedy Reichel,1,69,40,4,4,4,444
Kenneth Erdman,1,47,79,3,4,2,342
Kenneth Hirthe,1,2,29,1,4,4,144
Kenneth Schiller PhD,2,10,103,1,2,2,122
Kenney Gerhold,1,45,55,3,4,3,343
Kenney Konopelski,1,51,63,3,4,3,343
Kenney Roberts,2,3,134,1,2,1,121
Kenney Rutherford,1,5,46,1,4,3,143
Kennith Stiedemann,4,3,230,1,1,1,111
Kennith Wunsch,2,8,72,1,2,2,122
Kennth Crona,3,17,125,2,1,1,211
Kennth Fadel,1,90,62,4,4,3,443
Kennth Shields,2,3,65,1,2,3,123
Kennth Toy,4,24,158,2,1,1,211
Kenny Dare,4,25,146,2,1,1,211
Kenny Goldner,2,19,108,2,2,1,221
Kenny Watsica,2,2,77,1,2,2,122
Kenny Wisozk,7,10,425,1,1,1,111
Kenton Dickens,1,3,38,1,4,4,144
Kenya Kiehn MD,1,10,76,1,4,2,142
Kenya Marks,1,24,72,2,4,2,242
Kenya Shanahan,1,72,25,4,4,4,444
Kenyatta Bernhard,3,3,182,1,1,1,111
Kenyatta Stokes,1,47,54,3,4,3,343
Kenyatta Streich,2,17,134,2,2,1,221
Keri Blanda,1,45,74,3,4,2,342
Keri Schuppe MD,3,6,112,1,1,1,111
Keri Treutel,1,75,67,4,4,3,443
Keri Williamson,1,15,65,2,4,3,243
Kermit Kovacek,1,47,71,3,4,2,342
Kerri Price DDS,2,12,77,1,2,2,122
Kerry Ruecker,1,39,60,3,4,3,343
Kesha Runolfsson DDS,2,69,80,4,2,2,422
Kesha Zulauf,2,12,104,1,2,2,122
Keshaun Gutmann,1,81,25,4,4,4,444
Keshawn Jerde,1,12,57,1,4,3,143
Keshawn Roob,1,46,60,3,4,3,343
Keshia Beer,8,4,360,1,1,1,111
Keshia Marks,1,67,60,4,4,3,443
Kevan Collier,2,4,83,1,2,2,122
Keven Bosco,1,79,66,4,4,3,443
Kevon Lebsack,1,14,42,2,4,4,244
Keyshawn Rau,1,47,53,3,4,3,343
Khadijah Christiansen,4,12,238,1,1,1,111
Khadijah Frami,1,57,51,3,4,3,343
Khalilah Reichel,1,25,24,2,4,4,244
Khari Bashirian,2,1,65,1,2,3,123
Khari Bauch,2,11,99,1,2,2,122
Khari Labadie,1,88,23,4,4,4,444
Khiry Hickle,2,1,125,1,2,1,121
Khloe Jerde,1,46,78,3,4,2,342
Kia Cole,2,36,80,2,2,2,222
Kia Goyette PhD,1,87,21,4,4,4,444
Kian Upton MD,1,5,39,1,4,4,144
Kianna Eichmann,3,20,134,2,1,1,211
Kiara Jaskolski,2,70,127,4,2,1,421
Kiara Schuppe,1,25,40,2,4,4,244
Kiarra Kshlerin,1,61,24,4,4,4,444
Kiarra McCullough,4,45,198,3,1,1,311
Kiefer Bartoletti,1,41,37,3,4,4,344
Kiefer Haley,1,52,45,3,4,3,343
Kiefer Swift,1,39,74,3,4,2,342
Kiera Goyette,1,42,28,3,4,4,344
Kieran Spencer,1,25,65,2,4,3,243
Kieth Corkery,1,39,34,3,4,4,344
Kiley Fahey DVM,1,61,78,4,4,2,442
Kiley Kessler DVM,1,46,63,3,4,3,343
Kiley Walker,1,8,30,1,4,4,144
Killian Kunze II,1,76,21,4,4,4,444
Kim Bechtelar,1,33,39,2,4,4,244
Kim Daniel,1,42,50,3,4,3,343
Kim Frami,4,43,122,3,1,1,311
Kim Nienow,3,29,111,2,1,1,211
Kim Sporer DVM,1,5,53,1,4,3,143
Kimball Pagac,1,20,55,2,4,3,243
Kimber Bruen,1,42,31,3,4,4,344
Kimber Hodkiewicz,1,47,71,3,4,2,342
Kimberely Green,1,70,23,4,4,4,444
Kimberely Will,4,5,201,1,1,1,111
Kimberlee Hills,1,63,75,4,4,2,442
Kimberley Hickle,1,80,45,4,4,3,443
Kimberley Nolan,2,43,83,3,2,2,322
Kimberlie Romaguera,3,0,136,1,1,1,111
Kimora Beahan,2,56,131,3,2,1,321
Kindra Aufderhar DVM,2,59,88,3,2,2,322
King Torp,1,30,58,2,4,3,243
Kingston Hayes,1,24,47,2,4,3,243
Kingston Waelchi,10,5,566,1,1,1,111
Kinsey King,1,85,69,4,4,2,442
Kinsey Nienow,4,47,221,3,1,1,311
Kinsley Ward,2,70,92,4,2,2,422
Kinte Cassin DVM,1,79,26,4,4,4,444
Kinte Cummerata Jr.,1,11,32,1,4,4,144
Kinte Swaniawski,1,57,22,3,4,4,344
Kip Bogisich,1,90,60,4,4,3,443
Kip Kessler,2,35,120,2,2,1,221
Kip Schaden II,1,45,46,3,4,3,343
Kipp Lowe,1,88,34,4,4,4,444
Kira McLaughlin,1,47,66,3,4,3,343
Kirby Ernser III,1,47,25,3,4,4,344
Kirt Olson,2,2,101,1,2,2,122
Kirt Zboncak,2,34,150,2,2,1,221
Kisha Little MD,1,69,61,4,4,3,443
Kisha Osinski,1,76,66,4,4,3,443
Kisha Walker PhD,3,39,127,3,1,1,311
Kit Wisozk,4,10,153,1,1,1,111
Kittie Barton DDS,1,32,29,2,4,4,244
Kittie Dare,1,49,67,3,4,3,343
Kittie Koelpin,1,75,42,4,4,4,444
Kittie Lueilwitz,1,18,32,2,4,4,244
Kittie O'Conner,1,50,66,3,4,3,343
Kittie Schultz PhD,1,17,35,2,4,4,244
Kitty Connelly DDS,1,88,54,4,4,3,443
Kitty Lowe PhD,2,8,120,1,2,1,121
Kiya Zboncak,2,34,68,2,2,2,222
Kiyoko Kunde,8,14,400,2,1,1,211
Kiyoko Trantow DDS,3,48,108,3,1,1,311
Kiyoshi Reilly,1,67,65,4,4,3,443
Kizzie Farrell,1,30,43,2,4,4,244
Kizzie Russel,1,88,64,4,4,3,443
Kizzy Braun PhD,1,45,76,3,4,2,342
Kizzy Doyle,1,25,43,2,4,4,244
Kloe Bergstrom,1,77,40,4,4,4,444
Knox Bernier,1,62,70,4,4,2,442
Knute Auer,4,3,205,1,1,1,111
Knute Wuckert,5,54,263,3,1,1,311
Kobe Cormier,14,4,683,1,1,1,111
Kobe Goyette,12,0,629,1,1,1,111
Kobe Treutel,1,60,61,4,4,3,443
Koby Muller,1,75,78,4,4,2,442
Koby Schinner,2,67,96,4,2,2,422
Koda Mann Sr.,1,46,25,3,4,4,344
Kody Mann,4,53,198,3,1,1,311
Kody Metz V,1,80,75,4,4,2,442
Kody Morar,1,71,74,4,4,2,442
Kody O'Conner,1,19,64,2,4,3,243
Kody Stoltenberg,1,4,50,1,4,3,143
Kole Crooks,1,30,52,2,4,3,243
Kole Metz PhD,4,46,189,3,1,1,311
Kole Mraz MD,1,30,21,2,4,4,244
Kole Towne,1,11,62,1,4,3,143
Kolten Ledner,4,7,203,1,1,1,111
Kolten Prosacco,1,44,79,3,4,2,342
Kolten Rau Sr.,1,55,20,3,4,4,344
Kolton Hodkiewicz,2,45,141,3,2,1,321
Kolton Maggio,1,81,30,4,4,4,444
Konner Baumbach PhD,1,79,44,4,4,4,444
Konner Donnelly,2,55,67,3,2,3,323
Konner Lockman,1,14,62,2,4,3,243
Konner Prosacco,1,32,46,2,4,3,243
Kordell Cremin,2,65,130,4,2,1,421
Kordell Hartmann,2,12,105,1,2,2,122
Kordell Moen,1,31,61,2,4,3,243
Korey Bode,1,5,42,1,4,4,144
Korey Cronin,3,33,174,2,1,1,211
Korey Gislason DVM,1,19,50,2,4,3,243
Kori Muller,1,80,80,4,4,2,442
Kory Abernathy,7,4,382,1,1,1,111
Kory Rodriguez,1,6,22,1,4,4,144
Kourtney Herman,2,61,84,4,2,2,422
Kraig Hayes DDS,1,28,54,2,4,3,243
Kris Grant,1,47,62,3,4,3,343
Kris Herzog,1,47,22,3,4,4,344
Kris Kuhlman Jr.,1,36,69,2,4,2,242
Kris Yundt IV,1,73,31,4,4,4,444
Krish Cartwright,2,12,73,1,2,2,122
Krish Douglas,3,9,100,1,1,2,112
Krish Franecki,1,65,55,4,4,3,443
Krish Wisozk V,1,84,74,4,4,2,442
Krissy Morar,1,89,27,4,4,4,444
Krissy Reichel,2,40,124,3,2,1,321
Krissy Williamson,8,5,401,1,1,1,111
Krista Doyle,1,9,33,1,4,4,144
Krista Hartmann,2,43,104,3,2,2,322
Kristal O'Keefe,1,81,66,4,4,3,443
Kristan Durgan PhD,2,13,104,2,2,2,222
Kristen Kling,1,28,23,2,4,4,244
Kristen Lowe,1,46,80,3,4,2,342
Kristi Goodwin DDS,1,83,45,4,4,3,443
Kristian Batz,1,47,30,3,4,4,344
Kristian Heaney,1,85,21,4,4,4,444
Kristian Larkin,3,52,194,3,1,1,311
Kristian Stroman,1,43,50,3,4,3,343
Kristie Larson,4,9,249,1,1,1,111
Kristie Marvin,1,12,73,1,4,2,142
Kristie Prosacco,1,52,71,3,4,2,342
Kristin Kub,2,60,130,4,2,1,421
Kristine Bins,2,14,116,2,2,1,221
Kristopher Bogisich,3,49,148,3,1,1,311
Kristopher Langosh II,1,88,74,4,4,2,442
Kristopher Oberbrunner II,3,5,198,1,1,1,111
Kristy Kunde MD,1,68,34,4,4,4,444
Kristyn Feeney,1,8,40,1,4,4,144
Kristyn Hackett,1,33,30,2,4,4,244
Kristyn Labadie,1,46,38,3,4,4,344
Kristyn Lind,2,1,101,1,2,2,122
Krysta Upton DVM,1,27,65,2,4,3,243
Krystal Denesik,1,5,42,1,4,4,144
Krystal Yost,8,4,365,1,1,1,111
Krysten Johns,1,41,59,3,4,3,343
Krystin Krajcik,2,12,146,1,2,1,121
Krystin Leuschke,1,8,60,1,4,3,143
Krystin Monahan,1,20,58,2,4,3,243
Krystina Frami,2,65,97,4,2,2,422
Krystina Renner,1,46,24,3,4,4,344
Krystina Stokes,2,35,147,2,2,1,221
Krystle Borer DDS,2,49,100,3,2,2,322
Krystle Treutel,1,72,47,4,4,3,443
Kurt Trantow IV,1,84,61,4,4,3,443
Kwame Shanahan,4,14,178,2,1,1,211
Kya Jakubowski,1,29,22,2,4,4,244
Kyan Bartoletti,1,47,78,3,4,2,342
Kyan Schmidt Jr.,1,24,71,2,4,2,242
Kyan Zemlak,1,87,24,4,4,4,444
Kyara Crist MD,3,5,179,1,1,1,111
Kyara Ward,1,31,73,2,4,2,242
Kyla Orn,1,45,70,3,4,2,342
Kyle O'Kon,1,42,62,3,4,3,343
Kyle Purdy,1,45,28,3,4,4,344
Kylee Watsica PhD,3,6,126,1,1,1,111
Kylene Beier,4,4,195,1,1,1,111
Kylene Mayert,1,54,36,3,4,4,344
Kyler Trantow,1,38,66,2,4,3,243
Kylie Kertzmann,1,32,46,2,4,3,243
Kymani Dickinson,2,47,66,3,2,3,323
Kymani Dooley,1,10,69,1,4,2,142
Kymani Farrell Jr.,2,4,69,1,2,2,122
Kymani Kessler,1,16,54,2,4,3,243
Kymani Marvin,1,6,58,1,4,3,143
Kyra Dietrich,1,12,47,1,4,3,143
Kyra Hayes DVM,1,78,39,4,4,4,444
Kyra Leuschke,1,34,25,2,4,4,244
Kyra Volkman,1,68,27,4,4,4,444
Kyree Bauch II,6,8,277,1,1,1,111
Kyree O'Conner,1,74,41,4,4,4,444
Kyree Ruecker,4,3,199,1,1,1,111
Kyson Blanda,1,11,31,1,4,4,144
Kyson Reinger PhD,2,7,104,1,2,2,122
Lacey Farrell,2,74,97,4,2,2,422
Lacey Kovacek,1,45,76,3,4,2,342
Lacey Luettgen,1,3,50,1,4,3,143
Laci Hagenes DVM,1,32,20,2,4,4,244
Laci Hills,3,2,147,1,1,1,111
Lacie Zulauf,2,54,102,3,2,2,322
Lacy Connelly MD,1,86,49,4,4,3,443
Ladarius Champlin,1,54,60,3,4,3,343
Laddie Donnelly Sr.,1,35,36,2,4,4,244
Laddie Ebert,1,13,23,2,4,4,244
Laddie Nienow,1,77,57,4,4,3,443
Ladonna Windler,1,89,61,4,4,3,443
Lady Schultz,1,34,33,2,4,4,244
Lady Williamson,1,20,37,2,4,4,244
Lafayette Ebert,3,40,107,3,1,1,311
Lahoma Kovacek,6,5,345,1,1,1,111
Laila Lind,1,40,27,3,4,4,344
Lailah Hackett,3,11,204,1,1,1,111
Lailah Stamm,2,45,69,3,2,2,322
Lainey Friesen,1,72,77,4,4,2,442
Lainey Hackett DVM,1,67,79,4,4,2,442
Laisha Hills DVM,2,12,88,1,2,2,122
Laisha Lang,1,46,24,3,4,4,344
Laisha VonRueden,1,46,80,3,4,2,342
Laisha Walker,1,24,75,2,4,2,242
Lakeisha Deckow DDS,1,21,58,2,4,3,243
Lakeisha Labadie,1,17,70,2,4,2,242
Laken Windler,7,1,435,1,1,1,111
Lakendra Ankunding,2,6,86,1,2,2,122
Lakendra Hintz,2,40,46,3,2,3,323
Lakesha Yost DVM,3,32,117,2,1,1,211
Lakeshia Glover,1,40,58,3,4,3,343
Lakeshia Harris,1,20,52,2,4,3,243
Lala Littel,1,11,35,1,4,4,144
Lala Pacocha,1,85,73,4,4,2,442
Lalla Haley,1,47,43,3,4,4,344
Lalla Mante,1,70,39,4,4,4,444
Lamarcus Hagenes,1,34,24,2,4,4,244
Lamarcus Klocko,6,6,287,1,1,1,111
Lamarcus Tillman IV,1,43,51,3,4,3,343
Lambert Denesik,2,53,86,3,2,2,322
Lambert Gibson,1,35,73,2,4,2,242
Lambert Larkin,1,74,27,4,4,4,444
Lamonte Hand II,1,52,36,3,4,4,344
Lamonte Morissette DDS,1,87,53,4,4,3,443
Lamonte Renner,1,69,46,4,4,3,443
Lance Gutmann,1,10,28,1,4,4,144
Lance Medhurst,4,12,196,1,1,1,111
Lance Schneider,1,87,76,4,4,2,442
Landan Bosco,3,4,135,1,1,1,111
Landan Emmerich,1,47,59,3,4,3,343
Landen Olson,1,32,80,2,4,2,242
Landen Volkman,3,35,139,2,1,1,211
Landin Kunde Jr.,1,72,20,4,4,4,444
Landin Pfeffer I,1,75,35,4,4,4,444
Landon Braun,1,64,23,4,4,4,444
Landon Mann,1,86,22,4,4,4,444
Landon Schoen,1,27,80,2,4,2,242
Landyn Gleason,5,5,242,1,1,1,111
Landyn Pollich PhD,2,47,139,3,2,1,321
Lane Halvorson Sr.,2,6,111,1,2,1,121
Lane Reynolds,1,7,47,1,4,3,143
Lane Roberts,3,1,130,1,1,1,111
Lanette Huel,2,25,110,2,2,1,221
Lanette Lubowitz,1,47,39,3,4,4,344
Lani Dicki MD,1,12,32,1,4,4,144
Lanie Parker,2,81,59,4,2,3,423
Lannie Gutkowski,4,10,193,1,1,1,111
Lannie Hodkiewicz,5,4,266,1,1,1,111
Lannie Huels I,1,31,47,2,4,3,243
Lannie Krajcik,1,39,45,3,4,3,343
Lannie Vandervort PhD,1,74,26,4,4,4,444
Lannie Yundt,1,19,68,2,4,2,242
Laquan Baumbach,1,47,70,3,4,2,342
Laquan Herzog,1,52,69,3,4,2,342
Laraine Abernathy,1,9,74,1,4,2,142
Laraine Aufderhar MD,1,35,46,2,4,3,243
Larissa Abshire,1,67,58,4,4,3,443
Larissa Rosenbaum,1,87,62,4,4,3,443
Lark O'Connell,8,4,368,1,1,1,111
Larkin Abbott,1,84,49,4,4,3,443
Larkin Moore,4,10,211,1,1,1,111
Laron Daugherty,1,29,71,2,4,2,242
Lars Mueller,5,12,258,1,1,1,111
Lars Ritchie,2,26,85,2,2,2,222
Larue Gaylord,2,13,112,2,2,1,221
Larue Kiehn MD,2,21,110,2,2,1,221
Larue Pollich,1,47,58,3,4,3,343
Larue Schuppe,1,38,69,2,4,2,242
Lary Hammes I,2,13,135,2,2,1,221
Lary Kovacek PhD,3,3,145,1,1,1,111
Lary Shields,1,46,56,3,4,3,343
Lary Smitham,2,4,92,1,2,2,122
Lashanda Becker DVM,1,53,77,3,4,2,342
Lashanda Homenick MD,1,43,38,3,4,4,344
Lashawn Cummerata,1,89,54,4,4,3,443
Lashawn Fadel,1,67,55,4,4,3,443
Lashawn Hegmann,1,84,37,4,4,4,444
Lashawn Hoppe,7,21,329,2,1,1,211
Lashawn Price,1,4,50,1,4,3,143
Lashawn Schinner,1,5,66,1,4,3,143
Lashunda Bartell,2,25,151,2,2,1,221
Lasonya Lynch,1,45,73,3,4,2,342
Lasonya Schroeder,3,4,206,1,1,1,111
Lassie Lindgren,1,57,39,3,4,4,344
Latanya Hintz,1,46,45,3,4,3,343
Latarsha Crist,1,3,28,1,4,4,144
Latarsha Schaefer,1,65,71,4,4,2,442
Latarsha Schulist,2,4,113,1,2,1,121
Latarsha Witting,3,57,151,3,1,1,311
Latasha Grady,1,10,59,1,4,3,143
Latasha Klocko DDS,1,43,79,3,4,2,342
Latasha Wiegand PhD,1,74,25,4,4,4,444
Latesha Bernhard,1,4,40,1,4,4,144
Latesha Towne,1,46,27,3,4,4,344
Latifah Abbott,1,70,43,4,4,4,444
Latifah Carter,2,12,143,1,2,1,121
Latisha Beatty,2,47,128,3,2,1,321
Latisha Hauck,1,80,80,4,4,2,442
Latonya Stoltenberg,1,22,61,2,4,3,243
Latonya Tillman,1,47,32,3,4,4,344
Latoria Ferry MD,6,43,310,3,1,1,311
Latoria Mills,1,67,26,4,4,4,444
Latoria Smith PhD,1,77,76,4,4,2,442
Latoya Kreiger,9,3,417,1,1,1,111
Latoya Stanton,2,80,106,4,2,2,422
Latoyia Padberg,1,43,76,3,4,2,342
Latrell Medhurst,1,32,25,2,4,4,244
Latrell Moen,1,12,38,1,4,4,144
Latrell Windler I,3,18,105,2,1,2,212
Latrice Metz,1,85,34,4,4,4,444
Latrice Stokes,4,12,220,1,1,1,111
Latricia Dach,1,78,37,4,4,4,444
Latricia Lowe,4,35,206,2,1,1,211
Latricia Pacocha,1,31,59,2,4,3,243
Laurance Buckridge,7,5,358,1,1,1,111
Laurance Mueller,2,11,88,1,2,2,122
Laureen Kuhic,1,47,47,3,4,3,343
Laureen Torphy,1,4,72,1,4,2,142
Laurel Farrell,8,9,408,1,1,1,111
Laurel Kub,2,6,101,1,2,2,122
Laurel Morar,1,81,22,4,4,4,444
Laurel Tromp,1,8,64,1,4,3,143
Lauren Schinner DVM,1,23,20,2,4,4,244
Laurence Ritchie,2,44,78,3,2,2,322
Laurene Considine,1,26,73,2,4,2,242
Laurene Rau,1,51,71,3,4,2,342
Lauretta Stamm,1,88,25,4,4,4,444
Laurette Armstrong,7,31,231,2,1,1,211
Lauri Quitzon,2,23,62,2,2,3,223
Laurine Senger,1,45,74,3,4,2,342
Lauryn Hauck,6,4,311,1,1,1,111
Lavar Gaylord III,1,48,37,3,4,4,344
Lavelle Kuhlman,1,57,25,3,4,4,344
Lavelle Shields,1,3,42,1,4,4,144
Lavera Hackett,1,75,29,4,4,4,444
Lavern Hyatt,3,20,133,2,1,1,211
Lavern Pfeffer DDS,4,19,173,2,1,1,211
Lavern Reilly,2,63,90,4,2,2,422
Laverna Kiehn,1,12,73,1,4,2,142
Laverne Dicki,4,6,153,1,1,1,111
